index,phone_number,cluster,plan_name,category,estimated_cost,suitability,final_score,rank
2307,349-5617,0,Day Saver 249,Day,271.28,0.576,0.652,3
2308,397-8051,4,Lite Value 149,Lite,169.35,0.559,0.695,1
2308,397-8051,4,All-Rounder 299,All-Rounder,299.59,0.684,0.692,2
2308,397-8051,4,Day Saver 249,Day,266.87,0.563,0.648,3
2309,413-6346,4,All-Rounder 299,All-Rounder,299.3,0.648,0.674,1
2309,413-6346,4,Lite Value 149,Lite,182.84,0.471,0.644,2
2309,413-6346,4,Night Owl 199,Night,243.46,0.49,0.623,3
2310,395-9270,0,All-Rounder 299,All-Rounder,299.98,0.695,0.698,1
2310,395-9270,0,Lite Value 149,Lite,183.81,0.51,0.663,2
2310,395-9270,0,Day Saver 249,Day,276.4,0.551,0.637,3
2311,401-7575,4,All-Rounder 299,All-Rounder,299.56,0.655,0.678,1
2311,401-7575,4,Night Owl 199,Night,237.79,0.538,0.65,2
2311,401-7575,4,Lite Value 149,Lite,187.1,0.458,0.635,3
2312,332-5964,4,All-Rounder 299,All-Rounder,299.81,0.643,0.672,1
2312,332-5964,4,Night Owl 199,Night,230.79,0.553,0.661,2
2312,332-5964,4,Lite Value 149,Lite,182.57,0.472,0.645,3
2313,348-3338,4,Lite Value 149,Lite,173.41,0.574,0.7,1
2313,348-3338,4,All-Rounder 299,All-Rounder,299.42,0.651,0.676,2
2313,348-3338,4,Day Saver 249,Day,262.0,0.597,0.667,3
2314,387-5411,0,All-Rounder 299,All-Rounder,299.45,0.682,0.691,1
2314,387-5411,0,Lite Value 149,Lite,177.91,0.505,0.664,2
2314,387-5411,0,Day Saver 249,Day,275.96,0.538,0.631,3
2315,378-7872,4,Lite Value 149,Lite,166.29,0.539,0.686,1
2315,378-7872,4,All-Rounder 299,All-Rounder,299.0,0.636,0.669,2
2315,378-7872,4,Day Saver 249,Day,264.54,0.536,0.636,3
2316,389-6037,4,Lite Value 149,Lite,164.44,0.567,0.701,1
2316,389-6037,4,All-Rounder 299,All-Rounder,299.81,0.627,0.664,2
2316,389-6037,4,Night Owl 199,Night,227.61,0.547,0.66,3
2317,349-3732,4,Lite Value 149,Lite,164.85,0.582,0.709,1
2317,349-3732,4,All-Rounder 299,All-Rounder,299.0,0.665,0.683,2
2317,349-3732,4,Day Saver 249,Day,261.4,0.576,0.657,3
2318,347-9738,4,All-Rounder 299,All-Rounder,299.42,0.69,0.695,1
2318,347-9738,4,Lite Value 149,Lite,173.1,0.528,0.677,2
2318,347-9738,4,Day Saver 249,Day,271.51,0.546,0.637,3
2319,380-6074,0,All-Rounder 299,All-Rounder,299.0,0.67,0.685,1
2319,380-6074,0,Lite Value 149,Lite,188.21,0.523,0.667,2
2319,380-6074,0,Day Saver 249,Day,273.29,0.563,0.645,3
2320,338-4307,4,Lite Value 149,Lite,169.89,0.54,0.685,1
2320,338-4307,4,All-Rounder 299,All-Rounder,299.48,0.67,0.685,2
2320,338-4307,4,Night Owl 199,Night,230.69,0.496,0.633,3
2321,339-3636,4,All-Rounder 299,All-Rounder,305.96,0.796,0.745,1
2321,339-3636,4,Night Owl 199,Night,242.35,0.701,0.729,2
2321,339-3636,4,Midnight Max 299,Midnight,320.49,0.704,0.692,3
2322,328-9315,0,All-Rounder 299,All-Rounder,299.17,0.688,0.694,1
2322,328-9315,0,Lite Value 149,Lite,191.43,0.476,0.642,2
2322,328-9315,0,Night Owl 199,Night,254.78,0.505,0.625,3
2323,402-3634,4,All-Rounder 299,All-Rounder,299.0,0.684,0.693,1
2323,402-3634,4,Lite Value 149,Lite,172.16,0.524,0.676,2
2323,402-3634,4,Night Owl 199,Night,234.84,0.505,0.635,3
2324,348-4316,4,All-Rounder 299,All-Rounder,299.0,0.665,0.683,1
2324,348-4316,4,Lite Value 149,Lite,176.0,0.5,0.662,2
2324,348-4316,4,Night Owl 199,Night,233.97,0.51,0.638,3
2325,375-3826,4,All-Rounder 299,All-Rounder,299.0,0.688,0.695,1
2325,375-3826,4,Lite Value 149,Lite,192.62,0.504,0.656,2
2325,375-3826,4,Unlimited Talk 399,Unlimited,401.74,0.674,0.636,3
2326,360-1406,4,Lite Value 149,Lite,179.75,0.528,0.674,1
2326,360-1406,4,All-Rounder 299,All-Rounder,300.12,0.645,0.672,2
2326,360-1406,4,Day Saver 249,Day,269.38,0.579,0.655,3
2327,356-5475,4,Lite Value 149,Lite,163.93,0.581,0.709,1
2327,356-5475,4,All-Rounder 299,All-Rounder,299.0,0.677,0.689,2
2327,356-5475,4,Night Owl 199,Night,226.9,0.518,0.646,3
2328,363-9969,4,Lite Value 149,Lite,166.41,0.538,0.686,1
2328,363-9969,4,Night Owl 199,Night,222.98,0.56,0.669,2
2328,363-9969,4,All-Rounder 299,All-Rounder,299.0,0.637,0.669,3
2329,350-4367,4,All-Rounder 299,All-Rounder,299.0,0.645,0.673,1
2329,350-4367,4,Lite Value 149,Lite,176.06,0.495,0.659,2
2329,350-4367,4,Night Owl 199,Night,229.67,0.505,0.638,3
2330,348-1592,4,All-Rounder 299,All-Rounder,299.17,0.664,0.682,1
2330,348-1592,4,Lite Value 149,Lite,175.76,0.504,0.664,2
2330,348-1592,4,Night Owl 199,Night,234.34,0.502,0.634,3
2331,368-9751,0,All-Rounder 299,All-Rounder,303.94,0.627,0.662,1
2331,368-9751,0,Lite Value 149,Lite,182.23,0.463,0.64,2
2331,368-9751,0,Day Saver 249,Day,279.33,0.521,0.621,3
2332,380-6413,4,All-Rounder 299,All-Rounder,299.14,0.685,0.693,1
2332,380-6413,4,Lite Value 149,Lite,170.31,0.538,0.684,2
2332,380-6413,4,Day Saver 249,Day,268.91,0.534,0.633,3
2333,367-9259,4,All-Rounder 299,All-Rounder,299.0,0.662,0.681,1
2333,367-9259,4,Lite Value 149,Lite,171.26,0.527,0.678,2
2333,367-9259,4,Night Owl 199,Night,226.48,0.535,0.654,3
2334,404-8765,4,Lite Value 149,Lite,165.96,0.562,0.698,1
2334,404-8765,4,All-Rounder 299,All-Rounder,299.0,0.658,0.679,2
2334,404-8765,4,Night Owl 199,Night,216.61,0.539,0.661,3
2335,371-6284,4,All-Rounder 299,All-Rounder,299.0,0.679,0.69,1
2335,371-6284,4,Lite Value 149,Lite,169.39,0.543,0.687,2
2335,371-6284,4,Day Saver 249,Day,267.96,0.535,0.634,3
2336,403-9468,0,All-Rounder 299,All-Rounder,300.47,0.648,0.674,1
2336,403-9468,0,Lite Value 149,Lite,183.99,0.473,0.645,2
2336,403-9468,0,Night Owl 199,Night,248.59,0.483,0.617,3
2337,335-3133,4,All-Rounder 299,All-Rounder,301.86,0.632,0.665,1
2337,335-3133,4,Lite Value 149,Lite,180.21,0.476,0.648,2
2337,335-3133,4,Day Saver 249,Day,277.52,0.524,0.623,3
2338,366-4426,4,All-Rounder 299,All-Rounder,299.34,0.662,0.681,1
2338,366-4426,4,Lite Value 149,Lite,174.88,0.509,0.667,2
2338,366-4426,4,Night Owl 199,Night,227.36,0.534,0.653,3
2339,354-4752,4,Lite Value 149,Lite,167.92,0.531,0.682,1
2339,354-4752,4,All-Rounder 299,All-Rounder,299.0,0.6,0.651,2
2339,354-4752,4,Day Saver 249,Day,265.95,0.494,0.614,3
2340,406-4768,0,All-Rounder 299,All-Rounder,299.73,0.696,0.698,1
2340,406-4768,0,Lite Value 149,Lite,171.64,0.538,0.683,2
2340,406-4768,0,Day Saver 249,Day,270.24,0.549,0.639,3
2341,367-9257,4,All-Rounder 299,All-Rounder,299.0,0.637,0.669,1
2341,367-9257,4,Night Owl 199,Night,229.33,0.539,0.655,2
2341,367-9257,4,Lite Value 149,Lite,183.43,0.459,0.638,3
2342,342-8348,4,Lite Value 149,Lite,168.95,0.549,0.69,1
2342,342-8348,4,All-Rounder 299,All-Rounder,299.06,0.679,0.69,2
2342,342-8348,4,Night Owl 199,Night,233.7,0.518,0.642,3
2343,410-7611,4,All-Rounder 299,All-Rounder,300.06,0.691,0.695,1
2343,410-7611,4,Lite Value 149,Lite,169.48,0.551,0.691,2
2343,410-7611,4,Day Saver 249,Day,268.22,0.549,0.64,3
2344,341-3270,4,Lite Value 149,Lite,170.27,0.51,0.67,1
2344,341-3270,4,All-Rounder 299,All-Rounder,299.0,0.636,0.669,2
2344,341-3270,4,Day Saver 249,Day,268.13,0.544,0.638,3
2345,416-7452,4,Lite Value 149,Lite,179.3,0.559,0.69,1
2345,416-7452,4,All-Rounder 299,All-Rounder,299.0,0.651,0.676,2
2345,416-7452,4,Day Saver 249,Day,263.06,0.596,0.666,3
2346,356-8982,4,Lite Value 149,Lite,165.15,0.562,0.698,1
2346,356-8982,4,All-Rounder 299,All-Rounder,299.0,0.68,0.691,2
2346,356-8982,4,Night Owl 199,Night,227.92,0.516,0.644,3
2347,340-6908,0,All-Rounder 299,All-Rounder,299.98,0.689,0.695,1
2347,340-6908,0,Lite Value 149,Lite,170.88,0.544,0.687,2
2347,340-6908,0,Day Saver 249,Day,269.62,0.553,0.642,3
2348,348-6659,0,All-Rounder 299,All-Rounder,299.36,0.678,0.689,1
2348,348-6659,0,Lite Value 149,Lite,186.21,0.528,0.671,2
2348,348-6659,0,Day Saver 249,Day,272.97,0.57,0.649,3
2349,345-2401,4,All-Rounder 299,All-Rounder,299.0,0.687,0.694,1
2349,345-2401,4,Lite Value 149,Lite,178.34,0.508,0.665,2
2349,345-2401,4,Day Saver 249,Day,275.46,0.542,0.633,3
2350,422-5264,4,Lite Value 149,Lite,153.07,0.665,0.756,1
2350,422-5264,4,Day Saver 249,Day,252.6,0.614,0.681,2
2350,422-5264,4,All-Rounder 299,All-Rounder,299.0,0.633,0.667,3
2351,422-1799,4,All-Rounder 299,All-Rounder,299.0,0.66,0.681,1
2351,422-1799,4,Lite Value 149,Lite,177.1,0.488,0.655,2
2351,422-1799,4,Night Owl 199,Night,236.12,0.499,0.631,3
2352,404-2877,4,All-Rounder 299,All-Rounder,299.78,0.658,0.679,1
2352,404-2877,4,Lite Value 149,Lite,173.46,0.523,0.675,2
2352,404-2877,4,Day Saver 249,Day,271.5,0.527,0.628,3
2353,417-7913,4,All-Rounder 299,All-Rounder,299.48,0.664,0.682,1
2353,417-7913,4,Lite Value 149,Lite,175.7,0.506,0.665,2
2353,417-7913,4,Night Owl 199,Night,232.13,0.513,0.64,3
2354,399-2457,4,All-Rounder 299,All-Rounder,299.87,0.674,0.687,1
2354,399-2457,4,Lite Value 149,Lite,187.85,0.531,0.672,2
2354,399-2457,4,Day Saver 249,Day,273.04,0.573,0.65,3
2355,419-3427,4,All-Rounder 299,All-Rounder,299.7,0.683,0.692,1
2355,419-3427,4,Lite Value 149,Lite,186.92,0.49,0.652,2
2355,419-3427,4,Night Owl 199,Night,249.54,0.514,0.632,3
2356,358-2490,4,All-Rounder 299,All-Rounder,299.0,0.844,0.772,1
2356,358-2490,4,Unlimited Talk 399,Unlimited,400.62,0.811,0.705,2
2356,358-2490,4,Night Owl 199,Night,263.9,0.643,0.69,3
2357,349-3112,4,All-Rounder 299,All-Rounder,299.03,0.653,0.677,1
2357,349-3112,4,Lite Value 149,Lite,177.45,0.499,0.661,2
2357,349-3112,4,Day Saver 249,Day,275.29,0.52,0.622,3
2358,414-5422,4,Lite Value 149,Lite,164.38,0.586,0.711,1
2358,414-5422,4,All-Rounder 299,All-Rounder,300.29,0.641,0.67,2
2358,414-5422,4,Day Saver 249,Day,262.83,0.519,0.628,3
2359,386-3766,0,All-Rounder 299,All-Rounder,299.87,0.65,0.675,1
2359,386-3766,0,Lite Value 149,Lite,178.92,0.488,0.655,2
2359,386-3766,0,Night Owl 199,Night,229.05,0.531,0.651,3
2360,386-9724,4,Lite Value 149,Lite,172.17,0.555,0.691,1
2360,386-9724,4,All-Rounder 299,All-Rounder,299.0,0.679,0.69,2
2360,386-9724,4,Day Saver 249,Day,266.82,0.567,0.65,3
2361,416-7393,4,Lite Value 149,Lite,160.51,0.612,0.726,1
2361,416-7393,4,All-Rounder 299,All-Rounder,299.14,0.648,0.674,2
2361,416-7393,4,Night Owl 199,Night,214.31,0.548,0.667,3
2362,395-1380,4,All-Rounder 299,All-Rounder,299.0,0.683,0.692,1
2362,395-1380,4,Lite Value 149,Lite,173.89,0.526,0.676,2
2362,395-1380,4,Day Saver 249,Day,269.38,0.551,0.641,3
2363,408-4911,4,Lite Value 149,Lite,170.54,0.538,0.684,1
2363,408-4911,4,All-Rounder 299,All-Rounder,299.92,0.661,0.681,2
2363,408-4911,4,Night Owl 199,Night,224.42,0.536,0.656,3
2364,387-4064,0,All-Rounder 299,All-Rounder,300.04,0.648,0.674,1
2364,387-4064,0,Lite Value 149,Lite,176.07,0.511,0.667,2
2364,387-4064,0,Day Saver 249,Day,273.8,0.526,0.626,3
2365,380-5667,0,All-Rounder 299,All-Rounder,299.42,0.673,0.687,1
2365,380-5667,0,Lite Value 149,Lite,185.49,0.473,0.644,2
2365,380-5667,0,Night Owl 199,Night,246.1,0.523,0.638,3
2366,402-8930,0,Lite Value 149,Lite,168.57,0.555,0.693,1
2366,402-8930,0,All-Rounder 299,All-Rounder,300.12,0.669,0.684,2
2366,402-8930,0,Night Owl 199,Night,226.77,0.527,0.65,3
2367,336-6533,4,Lite Value 149,Lite,178.81,0.557,0.689,1
2367,336-6533,4,All-Rounder 299,All-Rounder,299.0,0.666,0.683,2
2367,336-6533,4,Day Saver 249,Day,266.34,0.582,0.658,3
2368,359-9992,4,Lite Value 149,Lite,172.9,0.576,0.702,1
2368,359-9992,4,All-Rounder 299,All-Rounder,299.0,0.662,0.681,2
2368,359-9992,4,Day Saver 249,Day,263.64,0.585,0.661,3
2369,391-1737,4,Lite Value 149,Lite,167.44,0.555,0.694,1
2369,391-1737,4,All-Rounder 299,All-Rounder,299.0,0.67,0.685,2
2369,391-1737,4,Night Owl 199,Night,229.08,0.526,0.648,3
2370,404-2871,4,All-Rounder 299,All-Rounder,299.0,0.688,0.695,1
2370,404-2871,4,Lite Value 149,Lite,169.02,0.548,0.689,2
2370,404-2871,4,Day Saver 249,Day,267.93,0.548,0.64,3
2371,420-6121,4,All-Rounder 299,All-Rounder,301.3,0.669,0.684,1
2371,420-6121,4,Lite Value 149,Lite,182.1,0.493,0.655,2
2371,420-6121,4,Night Owl 199,Night,242.47,0.528,0.643,3
2372,369-4012,4,All-Rounder 299,All-Rounder,299.03,0.679,0.69,1
2372,369-4012,4,Lite Value 149,Lite,169.08,0.548,0.689,2
2372,369-4012,4,Night Owl 199,Night,233.59,0.518,0.642,3
2373,357-2294,4,All-Rounder 299,All-Rounder,299.06,0.664,0.682,1
2373,357-2294,4,Lite Value 149,Lite,180.75,0.543,0.681,2
2373,357-2294,4,Day Saver 249,Day,269.07,0.578,0.654,3
2374,348-9938,4,All-Rounder 299,All-Rounder,299.0,0.682,0.692,1
2374,348-9938,4,Lite Value 149,Lite,173.82,0.518,0.672,2
2374,348-9938,4,Night Owl 199,Night,236.44,0.515,0.639,3
2375,394-3023,4,Night Owl 199,Night,218.28,0.542,0.662,1
2375,394-3023,4,All-Rounder 299,All-Rounder,299.11,0.611,0.656,2
2375,394-3023,4,Lite Value 149,Lite,178.1,0.475,0.648,3
2376,352-5466,4,All-Rounder 299,All-Rounder,299.62,0.654,0.677,1
2376,352-5466,4,Lite Value 149,Lite,187.49,0.538,0.675,2
2376,352-5466,4,Day Saver 249,Day,267.23,0.592,0.662,3
2377,364-5510,0,All-Rounder 299,All-Rounder,299.0,0.639,0.67,1
2377,364-5510,0,Night Owl 199,Night,223.79,0.558,0.667,2
2377,364-5510,0,Lite Value 149,Lite,177.13,0.492,0.657,3
2378,396-6462,4,Lite Value 149,Lite,164.63,0.592,0.714,1
2378,396-6462,4,All-Rounder 299,All-Rounder,299.73,0.671,0.686,2
2378,396-6462,4,Day Saver 249,Day,262.36,0.577,0.657,3
2379,384-5335,4,All-Rounder 299,All-Rounder,299.5,0.673,0.687,1
2379,384-5335,4,Lite Value 149,Lite,174.88,0.515,0.67,2
2379,384-5335,4,Day Saver 249,Day,273.07,0.528,0.627,3
2380,416-6886,4,Lite Value 149,Lite,173.38,0.545,0.686,1
2380,416-6886,4,All-Rounder 299,All-Rounder,299.03,0.659,0.68,2
2380,416-6886,4,Day Saver 249,Day,267.5,0.57,0.651,3
2381,357-2748,0,Lite Value 149,Lite,167.68,0.546,0.689,1
2381,357-2748,0,All-Rounder 299,All-Rounder,299.0,0.661,0.681,2
2381,357-2748,0,Night Owl 199,Night,232.24,0.528,0.648,3
2382,386-7976,4,Lite Value 149,Lite,160.79,0.611,0.725,1
2382,386-7976,4,All-Rounder 299,All-Rounder,299.25,0.626,0.663,2
2382,386-7976,4,Day Saver 249,Day,259.52,0.57,0.655,3
2383,403-9199,0,All-Rounder 299,All-Rounder,299.0,0.657,0.679,1
2383,403-9199,0,Lite Value 149,Lite,175.37,0.503,0.664,2
2383,403-9199,0,Night Owl 199,Night,231.21,0.508,0.638,3
2384,361-1900,4,All-Rounder 299,All-Rounder,299.0,0.681,0.691,1
2384,361-1900,4,Lite Value 149,Lite,182.64,0.497,0.657,2
2384,361-1900,4,Day Saver 249,Day,276.99,0.539,0.631,3
2385,405-3848,4,All-Rounder 299,All-Rounder,300.09,0.69,0.695,1
2385,405-3848,4,Lite Value 149,Lite,185.33,0.489,0.652,2
2385,405-3848,4,Night Owl 199,Night,251.28,0.501,0.625,3
2386,344-1136,4,All-Rounder 299,All-Rounder,299.0,0.689,0.695,1
2386,344-1136,4,Lite Value 149,Lite,167.76,0.555,0.694,2
2386,344-1136,4,Day Saver 249,Day,266.26,0.559,0.646,3
2387,378-6276,0,Lite Value 149,Lite,163.55,0.582,0.709,1
2387,378-6276,0,All-Rounder 299,All-Rounder,299.0,0.655,0.678,2
2387,378-6276,0,Day Saver 249,Day,261.38,0.58,0.659,3
2388,343-2592,4,All-Rounder 299,All-Rounder,299.0,0.679,0.69,1
2388,343-2592,4,Lite Value 149,Lite,197.33,0.507,0.655,2
2388,343-2592,4,Unlimited Talk 399,Unlimited,401.49,0.683,0.641,3
2389,396-4410,4,Lite Value 149,Lite,170.69,0.555,0.692,1
2389,396-4410,4,All-Rounder 299,All-Rounder,299.17,0.684,0.692,2
2389,396-4410,4,Day Saver 249,Day,267.06,0.564,0.648,3
2390,397-3943,4,All-Rounder 299,All-Rounder,299.62,0.657,0.679,1
2390,397-3943,4,Lite Value 149,Lite,184.19,0.469,0.642,2
2390,397-3943,4,Night Owl 199,Night,242.28,0.503,0.63,3
2391,347-3821,0,All-Rounder 299,All-Rounder,299.22,0.675,0.688,1
2391,347-3821,0,Lite Value 149,Lite,174.31,0.515,0.67,2
2391,347-3821,0,Night Owl 199,Night,234.56,0.508,0.637,3
2392,400-8069,4,All-Rounder 299,All-Rounder,299.28,0.648,0.674,1
2392,400-8069,4,Lite Value 149,Lite,183.29,0.468,0.642,2
2392,400-8069,4,Night Owl 199,Night,236.38,0.515,0.639,3
2393,346-5349,0,Lite Value 149,Lite,158.03,0.628,0.735,1
2393,346-5349,0,All-Rounder 299,All-Rounder,299.0,0.653,0.677,2
2393,346-5349,0,Night Owl 199,Night,217.55,0.535,0.659,3
2394,345-5089,4,All-Rounder 299,All-Rounder,299.34,0.681,0.691,1
2394,345-5089,4,Lite Value 149,Lite,172.26,0.531,0.679,2
2394,345-5089,4,Night Owl 199,Night,236.65,0.516,0.64,3
2395,410-4613,4,All-Rounder 299,All-Rounder,300.2,0.66,0.68,1
2395,410-4613,4,Lite Value 149,Lite,182.88,0.487,0.652,2
2395,410-4613,4,Night Owl 199,Night,241.83,0.536,0.647,3
2396,356-4706,4,Lite Value 149,Lite,174.99,0.542,0.684,1
2396,356-4706,4,All-Rounder 299,All-Rounder,299.17,0.643,0.672,2
2396,356-4706,4,Day Saver 249,Day,265.93,0.583,0.659,3
2397,347-3406,4,Lite Value 149,Lite,184.4,0.562,0.689,1
2397,347-3406,4,All-Rounder 299,All-Rounder,299.9,0.648,0.674,2
2397,347-3406,4,Day Saver 249,Day,265.86,0.6,0.667,3
2398,333-9133,4,Lite Value 149,Lite,166.15,0.569,0.701,1
2398,333-9133,4,All-Rounder 299,All-Rounder,299.42,0.69,0.695,2
2398,333-9133,4,Day Saver 249,Day,265.14,0.553,0.644,3
2399,392-2459,4,Lite Value 149,Lite,158.51,0.631,0.736,1
2399,392-2459,4,All-Rounder 299,All-Rounder,299.34,0.669,0.685,2
2399,392-2459,4,Day Saver 249,Day,257.64,0.579,0.661,3
2400,401-3685,0,All-Rounder 299,All-Rounder,299.0,0.636,0.669,1
2400,401-3685,0,Lite Value 149,Lite,178.46,0.486,0.654,2
2400,401-3685,0,Night Owl 199,Night,238.74,0.481,0.621,3
2401,352-7752,4,All-Rounder 299,All-Rounder,299.39,0.672,0.686,1
2401,352-7752,4,Lite Value 149,Lite,186.31,0.505,0.659,2
2401,352-7752,4,Day Saver 249,Day,276.89,0.544,0.634,3
2402,388-9285,0,Lite Value 149,Lite,165.61,0.567,0.701,1
2402,388-9285,0,All-Rounder 299,All-Rounder,300.48,0.648,0.674,2
2402,388-9285,0,Day Saver 249,Day,263.87,0.541,0.639,3
2403,332-5582,4,Lite Value 149,Lite,170.17,0.535,0.682,1
2403,332-5582,4,All-Rounder 299,All-Rounder,299.84,0.65,0.675,2
2403,332-5582,4,Night Owl 199,Night,222.51,0.513,0.645,3
2404,376-2550,4,Lite Value 149,Lite,168.46,0.575,0.703,1
2404,376-2550,4,All-Rounder 299,All-Rounder,300.54,0.675,0.687,2
2404,376-2550,4,Day Saver 249,Day,265.2,0.572,0.653,3
2405,333-4594,0,Lite Value 149,Lite,164.64,0.569,0.702,1
2405,333-4594,0,All-Rounder 299,All-Rounder,299.0,0.665,0.683,2
2405,333-4594,0,Day Saver 249,Day,263.12,0.565,0.651,3
2406,375-2522,4,All-Rounder 299,All-Rounder,299.0,0.646,0.673,1
2406,375-2522,4,Lite Value 149,Lite,178.9,0.488,0.655,2
2406,375-2522,4,Night Owl 199,Night,241.7,0.483,0.621,3
2407,388-2240,0,All-Rounder 299,All-Rounder,299.95,0.693,0.697,1
2407,388-2240,0,Lite Value 149,Lite,175.35,0.523,0.674,2
2407,388-2240,0,Day Saver 249,Day,273.18,0.547,0.637,3
2408,420-1782,4,Lite Value 149,Lite,174.98,0.552,0.689,1
2408,420-1782,4,All-Rounder 299,All-Rounder,299.14,0.67,0.685,2
2408,420-1782,4,Day Saver 249,Day,268.2,0.57,0.651,3
2409,384-8890,4,All-Rounder 299,All-Rounder,299.0,0.627,0.664,1
2409,384-8890,4,Lite Value 149,Lite,178.34,0.479,0.65,2
2409,384-8890,4,Night Owl 199,Night,230.58,0.495,0.632,3
2410,371-4788,4,Lite Value 149,Lite,164.97,0.566,0.701,1
2410,371-4788,4,All-Rounder 299,All-Rounder,299.25,0.63,0.665,2
2410,371-4788,4,Day Saver 249,Day,263.32,0.518,0.627,3
2411,360-5636,4,All-Rounder 299,All-Rounder,299.0,0.651,0.676,1
2411,360-5636,4,Lite Value 149,Lite,177.18,0.498,0.66,2
2411,360-5636,4,Day Saver 249,Day,275.04,0.518,0.621,3
2412,373-4264,4,Lite Value 149,Lite,186.93,0.579,0.696,1
2412,373-4264,4,Day Saver 249,Day,263.25,0.614,0.675,2
2412,373-4264,4,All-Rounder 299,All-Rounder,303.21,0.634,0.665,3
2413,352-9836,4,All-Rounder 299,All-Rounder,300.69,0.658,0.679,1
2413,352-9836,4,Lite Value 149,Lite,184.02,0.482,0.649,2
2413,352-9836,4,Night Owl 199,Night,241.66,0.538,0.648,3
2414,342-2013,4,Lite Value 149,Lite,164.83,0.564,0.7,1
2414,342-2013,4,All-Rounder 299,All-Rounder,299.0,0.663,0.682,2
2414,342-2013,4,Night Owl 199,Night,217.52,0.534,0.658,3
2415,354-5689,4,All-Rounder 299,All-Rounder,299.0,0.644,0.673,1
2415,354-5689,4,Lite Value 149,Lite,175.57,0.505,0.665,2
2415,354-5689,4,Night Owl 199,Night,226.68,0.552,0.663,3
2416,335-8427,4,All-Rounder 299,All-Rounder,299.53,0.658,0.679,1
2416,335-8427,4,Lite Value 149,Lite,176.02,0.508,0.666,2
2416,335-8427,4,Day Saver 249,Day,273.97,0.522,0.624,3
2417,409-6753,4,Lite Value 149,Lite,165.32,0.565,0.7,1
2417,409-6753,4,All-Rounder 299,All-Rounder,299.0,0.66,0.681,2
2417,409-6753,4,Night Owl 199,Night,221.06,0.5,0.639,3
2418,349-1756,4,All-Rounder 299,All-Rounder,299.28,0.665,0.683,1
2418,349-1756,4,Lite Value 149,Lite,175.96,0.52,0.672,2
2418,349-1756,4,Night Owl 199,Night,237.8,0.531,0.647,3
2419,328-8980,4,All-Rounder 299,All-Rounder,299.0,0.685,0.693,1
2419,328-8980,4,Lite Value 149,Lite,185.9,0.503,0.659,2
2419,328-8980,4,Day Saver 249,Day,276.75,0.543,0.633,3
2420,399-2151,4,Lite Value 149,Lite,166.14,0.568,0.701,1
2420,399-2151,4,All-Rounder 299,All-Rounder,299.45,0.686,0.693,2
2420,399-2151,4,Day Saver 249,Day,264.88,0.545,0.64,3
2421,379-9524,4,Lite Value 149,Lite,163.61,0.587,0.712,1
2421,379-9524,4,All-Rounder 299,All-Rounder,299.25,0.674,0.687,2
2421,379-9524,4,Day Saver 249,Day,262.83,0.571,0.654,3
2422,352-9947,0,Lite Value 149,Lite,168.95,0.551,0.691,1
2422,352-9947,0,All-Rounder 299,All-Rounder,300.46,0.669,0.684,2
2422,352-9947,0,Night Owl 199,Night,223.58,0.523,0.65,3
2423,336-1043,4,Lite Value 149,Lite,163.8,0.557,0.697,1
2423,336-1043,4,All-Rounder 299,All-Rounder,299.0,0.615,0.658,2
2423,336-1043,4,Day Saver 249,Day,262.29,0.529,0.633,3
2424,416-7013,0,Lite Value 149,Lite,166.42,0.552,0.693,1
2424,416-7013,0,All-Rounder 299,All-Rounder,299.0,0.666,0.683,2
2424,416-7013,0,Night Owl 199,Night,224.77,0.498,0.637,3
2425,345-4551,0,Lite Value 149,Lite,170.24,0.528,0.679,1
2425,345-4551,0,All-Rounder 299,All-Rounder,299.0,0.655,0.678,2
2425,345-4551,0,Night Owl 199,Night,223.39,0.517,0.647,3
2426,405-9864,4,All-Rounder 299,All-Rounder,299.87,0.644,0.672,1
2426,405-9864,4,Night Owl 199,Night,230.77,0.532,0.651,2
2426,405-9864,4,Lite Value 149,Lite,182.27,0.472,0.645,3
2427,350-4297,4,All-Rounder 299,All-Rounder,299.0,0.676,0.689,1
2427,350-4297,4,Lite Value 149,Lite,175.17,0.509,0.667,2
2427,350-4297,4,Night Owl 199,Night,233.99,0.519,0.643,3
2428,350-7114,4,All-Rounder 299,All-Rounder,299.36,0.634,0.667,1
2428,350-7114,4,Lite Value 149,Lite,174.84,0.501,0.663,2
2428,350-7114,4,Night Owl 199,Night,221.55,0.532,0.655,3
2429,400-4244,0,All-Rounder 299,All-Rounder,299.0,0.691,0.696,1
2429,400-4244,0,Lite Value 149,Lite,183.3,0.515,0.666,2
2429,400-4244,0,Day Saver 249,Day,274.96,0.555,0.64,3
2430,417-2608,0,All-Rounder 299,All-Rounder,300.57,0.659,0.679,1
2430,417-2608,0,Lite Value 149,Lite,178.73,0.495,0.658,2
2430,417-2608,0,Night Owl 199,Night,235.77,0.504,0.634,3
2431,372-2990,0,All-Rounder 299,All-Rounder,299.06,0.69,0.695,1
2431,372-2990,0,Lite Value 149,Lite,171.27,0.533,0.681,2
2431,372-2990,0,Day Saver 249,Day,269.93,0.538,0.634,3
2432,353-9998,4,All-Rounder 299,All-Rounder,299.92,0.645,0.673,1
2432,353-9998,4,Lite Value 149,Lite,177.4,0.495,0.659,2
2432,353-9998,4,Night Owl 199,Night,232.99,0.497,0.632,3
