phone_number,account_length,vmail_message,day_mins,day_calls,day_charge,eve_mins,eve_calls,eve_charge,night_mins,night_calls,night_charge,intl_mins,intl_calls,intl_charge,custserv_calls,churn,total_mins,total_calls,total_charge,day_mins_share,eve_mins_share,night_mins_share,intl_mins_share,avg_mins_per_call,Cluster
417-6683,43,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,False,646.6,299.0,59.800000000000004,0.27404887101763065,0.22053819981441383,0.4857717290442314,0.019641200123724094,2.162541806020067,4
331-6270,66,0,118.0,133,20.06,248.1,99,21.09,214.4,122,9.65,5.3,5,1.43,1,False,585.8,359.0,52.23,0.201433936497098,0.4235233868214408,0.36599522021167635,0.00904745646978491,1.6317548746518105,4
404-9754,125,0,163.8,73,27.85,255.6,85,21.73,192.9,95,8.68,15.7,4,4.24,0,False,628.0,257.0,62.5,0.260828025477707,0.40700636942675156,0.3071656050955414,0.024999999999999998,2.443579766536965,4
364-9425,114,4,141.3,96,24.02,230.4,88,19.58,223.7,85,10.07,9.4,3,2.54,3,False,604.8000000000001,272.0,56.209999999999994,0.23363095238095238,0.38095238095238093,0.36987433862433855,0.015542328042328041,2.223529411764706,4
339-6477,112,0,272.5,119,46.33,226.1,94,19.22,159.1,94,7.16,16.4,5,4.43,3,True,674.1,312.0,77.13999999999999,0.4042426939623201,0.3354101765316718,0.23601839489689955,0.02432873460910844,2.160576923076923,4
362-2787,101,16,118.9,112,20.21,228.3,97,19.41,180.1,111,8.1,8.2,5,2.21,2,False,535.5000000000001,325.0,49.93000000000001,0.22203548085901023,0.4263305322128851,0.33632119514472447,0.015312791783380015,1.647692307692308,0
405-9233,70,0,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0,False,313.0,273.0,23.25,0.02523961661341853,0.4357827476038339,0.5003194888178913,0.03865814696485623,1.1465201465201464,4
416-1845,59,0,159.5,96,27.12,167.2,123,14.21,138.6,106,6.24,10.2,4,2.75,0,False,475.49999999999994,329.0,50.32,0.33543638275499477,0.35162986330178764,0.2914826498422713,0.021451104100946375,1.445288753799392,4
385-9657,59,0,150.2,70,25.53,185.7,98,15.78,212.5,128,9.56,12.1,2,3.27,1,False,560.5,298.0,54.14000000000001,0.2679750223015165,0.3313113291703836,0.3791257805530776,0.0215878679750223,1.8808724832214765,4
420-5652,124,30,144.5,35,24.57,262.3,101,22.3,226.5,82,10.19,12.0,7,3.24,2,False,645.3,225.0,60.300000000000004,0.22392685572601892,0.40647760731442745,0.3509995350999535,0.018596001859600187,2.868,0
415-1141,99,0,140.7,88,23.92,210.9,98,17.93,229.9,125,10.35,12.4,4,3.35,2,False,593.9,315.0,55.550000000000004,0.23690857046640848,0.3551102879272605,0.38710220575854526,0.020878935847785825,1.8853968253968254,4
334-5634,150,0,169.2,123,28.76,216.8,83,18.43,179.4,107,8.07,12.6,3,3.4,1,False,578.0,316.0,58.66,0.2927335640138408,0.37508650519031145,0.3103806228373703,0.02179930795847751,1.8291139240506329,4
403-4200,81,0,220.8,77,37.54,148.5,87,12.62,183.9,100,8.28,7.6,3,2.05,2,False,560.8000000000001,267.0,60.489999999999995,0.39372325249643364,0.2648002853067047,0.3279243937232525,0.013552068473609128,2.100374531835206,4
357-7893,86,0,216.3,96,36.77,266.3,77,22.64,214.0,110,9.63,4.5,3,1.22,0,False,701.1,286.0,70.26,0.30851519041506204,0.3798316930537726,0.30523463129368134,0.006418485237483953,2.4513986013986013,4
369-2899,84,0,169.5,96,28.82,157.6,94,13.4,98.2,70,4.42,10.6,7,2.86,0,False,435.90000000000003,267.0,49.5,0.38885065381968337,0.361550814406974,0.22528102775866024,0.024317504014682263,1.6325842696629216,4
381-1026,118,35,256.3,119,43.57,258.1,91,21.94,215.5,130,9.7,11.7,1,3.16,1,False,741.6000000000001,341.0,78.37,0.3456040992448759,0.3480312837108953,0.2905879180151024,0.01577669902912621,2.174780058651027,0
388-8722,89,0,179.7,128,30.55,299.8,92,25.48,185.3,120,8.34,7.6,3,2.05,1,False,672.4,343.0,66.42,0.26725163593099344,0.4458655562165378,0.27558001189768,0.011302795954788817,1.9603498542274052,4
418-3135,93,0,266.0,120,45.22,130.1,84,11.06,165.8,63,7.46,13.1,6,3.54,3,False,575.0000000000001,273.0,67.28,0.46260869565217383,0.22626086956521735,0.28834782608695647,0.022782608695652167,2.1062271062271067,4
380-3974,85,0,96.7,97,16.44,193.8,95,16.47,171.7,88,7.73,9.7,3,2.62,2,False,471.9,283.0,43.26,0.20491629582538676,0.4106802288620471,0.36384827293918204,0.02055520237338419,1.6674911660777385,4
338-7232,160,0,82.7,116,14.06,194.6,95,16.54,159.0,54,7.15,10.9,9,2.94,0,False,447.2,274.0,40.69,0.18492844364937389,0.4351520572450805,0.3555456171735242,0.024373881932021467,1.6321167883211678,4
334-5223,28,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,False,532.4,294.0,53.71999999999999,0.31592787377911347,0.3037190082644628,0.36138241923365894,0.01897069872276484,1.8108843537414965,4
340-8323,73,0,286.4,109,48.69,178.2,67,15.15,214.2,152,9.64,10.7,14,2.89,1,True,689.5,342.0,76.36999999999999,0.4153734590282813,0.25844815083393763,0.31065989847715736,0.01551849166062364,2.0160818713450293,4
337-6851,156,0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,12.9,5,3.48,3,False,631.9999999999999,333.0,60.58999999999999,0.2757911392405064,0.29525316455696204,0.4085443037974684,0.020411392405063296,1.8978978978978975,4
344-5973,33,0,190.6,100,32.4,161.7,104,13.74,189.9,136,8.55,13.0,6,3.51,1,False,555.1999999999999,346.0,58.199999999999996,0.343299711815562,0.2912463976945245,0.3420389048991355,0.0234149855907781,1.6046242774566473,4
335-2261,77,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4,False,643.5999999999999,267.0,63.11,0.2726848974518335,0.3186761963952766,0.38098197638284653,0.027656929770043512,2.4104868913857675,4
343-1458,119,0,133.4,102,22.68,204.6,71,17.39,196.9,103,8.86,11.1,7,3.0,1,False,546.0,283.0,51.93,0.24432234432234434,0.3747252747252747,0.3606227106227106,0.02032967032967033,1.9293286219081272,4
415-4875,91,27,204.6,96,34.78,136.0,93,11.56,210.5,82,9.47,6.6,2,1.78,3,False,557.7,273.0,57.59,0.3668639053254438,0.24385870539716692,0.37744306975076203,0.011834319526627217,2.042857142857143,0
381-2726,102,0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,6.2,6,1.67,3,False,670.1,304.0,71.14,0.3614385912550365,0.3480077600358155,0.2813012983136845,0.009252350395463363,2.204276315789474,4
395-3852,86,33,253.1,112,43.03,210.1,94,17.86,95.0,98,4.27,11.9,4,3.21,3,False,570.1,308.0,68.36999999999999,0.4439572004911419,0.3685318365199088,0.1666374320294685,0.02087353095948079,1.850974025974026,0
358-7914,82,0,130.0,110,22.1,185.3,88,15.75,178.7,105,8.04,8.3,4,2.24,0,False,502.3,307.0,48.13,0.2588094764085208,0.36890304598845314,0.35576348795540513,0.016523989647620946,1.636156351791531,4
332-6958,89,0,105.9,151,18.0,189.6,142,16.12,170.9,67,7.69,12.7,7,3.43,0,False,479.09999999999997,367.0,45.24,0.2210394489668128,0.395742016280526,0.3567104988520142,0.026508035900647046,1.3054495912806539,4
355-1019,86,0,194.2,98,33.01,193.8,95,16.47,192.0,123,8.64,9.3,7,2.51,3,False,589.3,323.0,60.629999999999995,0.32954352621754623,0.3288647547938232,0.3258102833870694,0.015781435601561176,1.8244582043343651,4
382-9447,134,0,183.8,111,31.25,123.5,92,10.5,160.7,105,7.23,6.1,2,1.65,1,False,474.1,310.0,50.63,0.3876819236448007,0.2604935667580679,0.3389580257329677,0.012866483864163678,1.5293548387096776,4
386-8536,92,0,196.5,82,33.41,190.0,89,16.15,163.2,99,7.34,10.8,2,2.92,2,False,560.5,272.0,59.81999999999999,0.35057983942908116,0.3389830508474576,0.2911685994647636,0.019268510258697594,2.0606617647058822,4
363-3818,87,0,184.5,81,31.37,172.0,103,14.62,183.4,96,8.25,13.7,3,3.7,3,False,553.6,283.0,57.940000000000005,0.3332731213872832,0.3106936416184971,0.33128612716763006,0.02474710982658959,1.9561837455830389,4
360-6416,64,0,261.9,113,44.52,148.1,99,12.59,145.2,74,6.53,13.8,4,3.73,0,False,569.0,290.0,67.37,0.4602811950790861,0.2602811950790861,0.25518453427065024,0.024253075571177507,1.9620689655172414,4
332-8764,80,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3,False,649.2,302.0,66.99000000000001,0.3117683302526186,0.4008009858287122,0.27325939617991374,0.01417128773875539,2.1496688741721854,4
398-4814,165,39,167.4,113,28.46,172.7,94,14.68,192.6,113,8.67,9.5,4,2.57,3,False,542.2,324.0,54.38,0.30874216156399853,0.31851715234230904,0.3552194762080413,0.01752120988565105,1.673456790123457,0
410-5963,153,22,167.7,104,28.51,246.8,91,20.98,203.9,117,9.18,7.5,11,2.03,1,False,625.9,323.0,60.7,0.26793417478830484,0.39431219044575816,0.3257708899185174,0.011982744847419716,1.9377708978328172,0
399-6642,41,30,191.7,109,32.59,193.0,86,16.41,149.4,93,6.72,11.1,4,3.0,1,False,545.2,292.0,58.72,0.3516140865737344,0.3539985326485693,0.2740278796771827,0.020359501100513572,1.867123287671233,0
390-9986,108,0,240.2,78,40.83,230.3,109,19.58,217.0,83,9.76,5.2,1,1.4,2,False,692.7,271.0,71.57000000000001,0.34675905875559404,0.33246715749963907,0.31326692651941673,0.007506857225350079,2.556088560885609,4
391-1793,104,26,189.1,112,32.15,178.2,97,15.15,199.3,104,8.97,11.1,4,3.0,1,False,577.6999999999999,317.0,59.269999999999996,0.3273325255322832,0.3084646010039813,0.3449887484853731,0.019214124978362473,1.8223974763406938,0
352-5542,115,0,127.7,67,21.71,182.9,90,15.55,172.9,92,7.78,10.6,7,2.86,1,False,494.1,256.0,47.900000000000006,0.2584497065371382,0.3701679821898401,0.3499291641368144,0.021453147136207242,1.930078125,4
386-8118,87,0,205.2,106,34.88,99.5,122,8.46,189.5,75,8.53,13.4,3,3.62,1,False,507.59999999999997,306.0,55.49,0.4042553191489362,0.19602048857368007,0.37332545311268717,0.026398739164696615,1.6588235294117646,4
394-9825,159,23,153.6,93,26.11,216.9,88,18.44,161.3,91,7.26,12.6,3,3.4,2,False,544.4,275.0,55.209999999999994,0.28214548126377664,0.3984202792064659,0.29628949301983837,0.023144746509919177,1.9796363636363636,0
382-4952,119,0,154.5,129,26.27,193.6,87,16.46,180.9,145,8.14,13.4,3,3.62,2,False,542.4,364.0,54.49,0.2848451327433628,0.35693215339233036,0.33351769911504425,0.024705014749262538,1.4901098901098901,4
387-2698,69,0,153.7,109,26.13,194.0,105,16.49,256.1,114,11.52,14.1,6,3.81,1,False,617.9,334.0,57.95,0.2487457517397637,0.31396666127205053,0.41446836057614506,0.022819226412040785,1.8499999999999999,4
417-1360,87,36,171.2,138,29.1,185.8,102,15.79,227.6,97,10.24,10.8,3,2.92,1,False,595.4,340.0,58.050000000000004,0.2875377897211958,0.31205911991938196,0.38226402418542155,0.018139066174000674,1.7511764705882353,0
408-4836,93,0,328.1,106,55.78,151.7,89,12.89,303.5,114,13.66,8.7,3,2.35,1,True,792.0,312.0,84.67999999999999,0.4142676767676768,0.19154040404040404,0.3832070707070707,0.010984848484848484,2.5384615384615383,4
374-8329,154,0,145.9,69,24.8,208.2,141,17.7,180.9,106,8.14,14.4,10,3.89,0,True,549.4,326.0,54.53,0.26556243174372046,0.37895886421550784,0.32926829268292684,0.026210411357844923,1.685276073619632,4
363-8424,57,37,201.2,76,34.2,280.1,122,23.81,154.2,110,6.94,11.8,1,3.19,1,False,647.3,309.0,68.14,0.3108295998764097,0.43272053143828215,0.23822029970647304,0.018229568978835164,2.0948220064724916,0
408-8910,130,0,139.1,72,23.65,246.0,112,20.91,207.2,121,9.32,11.4,9,3.08,5,False,603.6999999999999,314.0,56.96,0.23041245651813816,0.4074871624979295,0.34321682955110155,0.01888355143283088,1.9226114649681527,4
399-3840,151,0,118.9,128,20.21,278.3,65,23.66,194.8,61,8.77,13.2,10,3.56,2,False,605.2,264.0,56.2,0.19646397884996694,0.4598479841374752,0.3218770654329147,0.02181097157964309,2.2924242424242425,4
367-8692,162,0,217.6,87,36.99,279.0,71,23.72,250.7,65,11.28,10.4,4,2.81,2,True,757.6999999999999,227.0,74.8,0.28718490167612515,0.36821961198363473,0.33086973736307246,0.013725748977167745,3.337885462555066,4
387-4504,60,0,145.0,133,24.65,209.1,92,17.77,328.5,112,14.78,14.6,2,3.94,1,False,697.2,339.0,61.14,0.20797475616752722,0.2999139414802065,0.471170395869191,0.020940906483075155,2.056637168141593,4
328-2647,81,0,203.5,89,34.6,289.6,69,24.62,212.9,71,9.58,8.7,3,2.35,3,False,714.7,232.0,71.14999999999999,0.2847348537848048,0.40520498111095565,0.2978872254092626,0.012172939694976912,3.080603448275862,4
369-7903,132,0,240.1,115,40.82,180.4,91,15.33,133.4,122,6.0,8.0,6,2.16,3,False,561.9,334.0,64.31,0.42730023135789286,0.3210535682505784,0.23740879159992884,0.01423740879159993,1.6823353293413172,4
399-6852,86,0,83.8,121,14.25,240.2,96,20.42,158.6,108,7.14,6.7,8,1.81,1,False,489.3,333.0,43.620000000000005,0.17126507255262619,0.49090537502554665,0.32413652156141426,0.013693030860412835,1.4693693693693695,4
335-4888,136,0,269.8,106,45.87,228.8,101,19.45,257.5,106,11.59,10.1,8,2.73,1,True,766.2,321.0,79.64,0.35212738188462545,0.2986165492038632,0.33607413208039677,0.01318193683111459,2.3869158878504675,4
344-2260,121,21,126.3,84,21.47,209.6,102,17.82,192.5,129,8.66,10.6,2,2.86,1,False,539.0,317.0,50.81,0.23432282003710575,0.3888682745825603,0.35714285714285715,0.019666048237476808,1.7003154574132493,0
349-4070,105,15,88.1,125,14.98,175.9,142,14.95,269.9,85,12.15,9.7,1,2.62,2,False,543.6,353.0,44.699999999999996,0.16206769683590874,0.3235835172921266,0.49650478292862393,0.017844002943340688,1.539943342776204,0
394-6505,105,34,218.5,61,37.15,196.7,74,16.72,151.1,103,6.8,9.9,4,2.67,2,False,576.1999999999999,242.0,63.339999999999996,0.3792086081221798,0.34137452273516145,0.2622353349531413,0.017181534189517532,2.3809917355371897,0
419-3612,51,26,236.8,61,40.26,263.4,97,22.39,181.1,91,8.15,11.2,8,3.02,1,False,692.5,257.0,73.82,0.3419494584837545,0.38036101083032486,0.26151624548736463,0.016173285198555955,2.6945525291828796,0
356-1952,64,0,124.1,117,21.1,192.8,108,16.39,162.9,84,7.33,6.4,5,1.73,3,False,486.19999999999993,314.0,46.55,0.25524475524475526,0.39654463183874955,0.33504730563554097,0.013163307280954342,1.5484076433121017,4
416-7866,80,30,184.2,132,31.31,167.5,109,14.24,212.8,114,9.58,10.0,10,2.7,0,False,574.5,365.0,57.83,0.32062663185378587,0.2915578764142733,0.37040905134899915,0.017406440382941687,1.573972602739726,0
398-1759,56,0,222.7,133,37.86,277.0,89,23.55,101.8,94,4.58,13.6,4,3.67,4,False,615.1,320.0,69.66,0.3620549504145667,0.450333279141603,0.16550154446431473,0.022110225979515525,1.9221875000000002,4
338-9950,120,0,149.2,98,25.36,193.6,88,16.46,248.9,119,11.2,11.1,5,3.0,1,False,602.8,310.0,56.019999999999996,0.24751161247511613,0.32116788321167883,0.4129064366290644,0.018414067684140677,1.944516129032258,4
412-7278,103,0,206.5,125,35.11,180.2,113,15.32,220.6,95,9.93,12.2,4,3.29,3,False,619.5,337.0,63.65,0.3333333333333333,0.2908797417271993,0.356093623890234,0.019693301049233253,1.8382789317507418,4
347-1263,164,27,159.7,102,27.15,168.8,113,14.35,244.1,127,10.98,9.6,9,2.59,3,False,582.2,351.0,55.07000000000001,0.2743043627619374,0.2899347303332188,0.41927172792854683,0.016489178976296804,1.6586894586894587,0
386-5684,116,27,204.7,118,34.8,209.4,91,17.8,212.9,67,9.58,7.0,2,1.89,2,False,634.0,278.0,64.07,0.3228706624605678,0.3302839116719243,0.3358044164037855,0.011041009463722398,2.2805755395683454,0
334-4354,121,0,213.2,79,36.24,120.7,116,10.26,244.4,102,11.0,7.5,4,2.03,1,False,585.8,301.0,59.53,0.3639467395015364,0.20604301809491296,0.4172072379651759,0.012803004438374873,1.9461794019933554,4
398-5970,55,0,269.6,121,45.83,171.7,91,14.59,219.0,98,9.86,8.2,6,2.21,1,False,668.5,316.0,72.49,0.40329094988780856,0.2568436798803291,0.3275991024682124,0.012266267763649962,2.115506329113924,4
330-3429,183,0,116.7,92,19.84,213.8,112,18.17,214.3,112,9.64,9.7,6,2.62,2,False,554.5,322.0,50.27,0.21045987376014427,0.3855725879170424,0.38647430117222725,0.01749323715058611,1.7220496894409938,4
418-4637,104,0,263.4,101,44.78,235.5,117,20.02,102.0,146,4.59,13.0,4,3.51,0,False,613.9,368.0,72.9,0.42906010750936635,0.3836129662811533,0.16615083889884347,0.02117608731063691,1.6682065217391304,4
393-7322,90,0,140.2,97,23.83,213.9,102,18.18,120.0,126,5.4,7.1,2,1.92,1,False,481.20000000000005,327.0,49.33,0.29135494596841227,0.4445137157107232,0.24937655860349126,0.014754779717373231,1.4715596330275231,4
353-5557,82,0,197.7,101,33.61,127.6,83,10.85,142.1,103,6.39,13.5,3,3.65,1,False,480.9,290.0,54.5,0.4111041796631316,0.2653358286546059,0.2954876273653566,0.028072364316905803,1.6582758620689655,4
411-5334,101,0,136.2,92,23.15,220.9,110,18.78,196.9,116,8.86,13.3,7,3.59,3,False,567.3,325.0,54.379999999999995,0.24008461131676362,0.38938833068922973,0.3470826723074212,0.023444385686585585,1.7455384615384615,4
398-8588,9,16,88.5,87,15.05,178.8,108,15.2,228.7,96,10.29,11.5,3,3.11,2,False,507.5,294.0,43.65,0.17438423645320197,0.3523152709359606,0.4506403940886699,0.022660098522167486,1.7261904761904763,0
374-7285,97,0,215.3,58,36.6,242.4,91,20.6,279.8,105,12.59,12.1,9,3.27,0,False,749.6,263.0,73.06,0.28721985058697974,0.3233724653148346,0.3732657417289221,0.016141942369263605,2.8501901140684414,4
379-7215,94,0,269.2,104,45.76,193.8,144,16.47,257.6,61,11.59,8.9,2,2.4,3,True,729.5,311.0,76.22,0.36901987662782726,0.2656614119259767,0.35311857436600413,0.012200137080191912,2.3456591639871385,4
357-7875,127,25,203.8,118,34.65,267.1,48,22.7,225.1,105,10.13,7.3,5,1.97,0,False,703.3,276.0,69.44999999999999,0.2897767666714063,0.37978103227641125,0.3200625622067397,0.010379638845442912,2.5481884057971014,0
393-9677,125,34,268.4,112,45.63,222.2,108,18.89,117.6,102,5.29,10.3,3,2.78,0,False,618.4999999999999,325.0,72.59000000000002,0.4339531123686338,0.3592562651576395,0.19013742926434926,0.01665319320937753,1.9030769230769227,0
345-9598,140,0,159.1,104,27.05,269.8,106,22.93,220.4,116,9.92,10.3,4,2.78,1,False,659.5999999999999,330.0,62.68000000000001,0.2412067919951486,0.4090357792601578,0.3341419041843542,0.015615524560339603,1.9987878787878786,4
353-3203,90,0,114.4,122,19.45,127.7,154,10.85,253.1,109,11.39,10.1,5,2.73,2,False,505.30000000000007,390.0,44.419999999999995,0.22640015832178903,0.25272115574905996,0.5008905600633287,0.01998812586582228,1.2956410256410258,4
330-7486,67,0,138.9,65,23.61,208.9,109,17.76,232.4,82,10.46,9.2,3,2.48,2,False,589.4000000000001,259.0,54.31,0.2356633864947404,0.35442823210044105,0.3942992874109263,0.01560909399389209,2.275675675675676,4
397-6425,113,0,186.0,55,31.62,237.4,105,20.18,148.1,83,6.66,12.2,6,3.29,1,False,583.7,249.0,61.74999999999999,0.3186568442693164,0.40671577865341785,0.2537262292273428,0.0209011478499229,2.3441767068273096,4
338-1815,121,26,170.4,91,28.97,254.5,90,21.63,219.6,122,9.88,15.1,5,4.08,0,False,659.6,308.0,64.56,0.25833838690115224,0.38583990297149784,0.3329290479078229,0.022892662219526985,2.1415584415584417,0
406-5023,93,0,164.5,95,27.97,230.9,87,19.63,149.9,91,6.75,9.9,3,2.67,4,False,555.1999999999999,276.0,57.019999999999996,0.29628962536023057,0.41588616714697413,0.269992795389049,0.0178314121037464,2.0115942028985505,4
368-2458,121,0,168.6,121,28.66,168.6,94,14.33,95.3,59,4.29,12.3,4,3.32,1,False,444.8,278.0,50.6,0.37904676258992803,0.37904676258992803,0.21425359712230216,0.027652877697841728,1.6,4
400-8375,53,0,261.2,119,44.4,250.8,105,21.32,176.0,112,7.92,9.8,2,2.65,0,True,697.8,338.0,76.29,0.37431928919461166,0.35941530524505594,0.2522212668386357,0.014044138721696763,2.0644970414201183,4
387-8201,75,0,190.5,91,32.39,178.4,75,15.16,162.4,113,7.31,13.1,5,3.54,1,False,544.4,284.0,58.4,0.3499265246142542,0.32770022042615726,0.2983100661278472,0.024063188831741366,1.9169014084507041,4
346-4360,132,0,181.1,121,30.79,314.4,109,26.72,246.7,81,11.1,4.2,9,1.13,2,False,746.4000000000001,320.0,69.74,0.242631296891747,0.4212218649517684,0.33051982851018213,0.00562700964630225,2.3325000000000005,4
412-8811,162,0,177.1,131,30.11,114.7,122,9.75,153.6,88,6.91,6.5,6,1.76,3,False,451.9,347.0,48.529999999999994,0.39190086302279264,0.25381721619827396,0.339898207568046,0.014383713210887366,1.3023054755043226,4
413-3990,140,0,160.5,114,27.29,240.5,103,20.44,233.5,121,10.51,11.3,4,3.05,1,False,645.8,342.0,61.29,0.24852895633323013,0.37240631774543204,0.3615670486218644,0.017497677299473522,1.8883040935672513,4
345-2448,91,0,134.7,116,22.9,295.3,98,25.1,195.5,121,8.8,6.6,5,1.78,2,False,632.1,340.0,58.58,0.21309919316563833,0.4671729156778991,0.30928650529979435,0.010441385856668248,1.8591176470588235,4
394-4512,73,28,198.2,107,33.69,139.1,123,11.82,199.1,139,8.96,8.8,1,2.38,2,False,545.1999999999999,370.0,56.85,0.36353631694790906,0.2551357300073368,0.3651870873074102,0.016140865737344096,1.4735135135135133,0
400-8538,95,0,228.9,134,38.91,255.7,71,21.73,208.0,120,9.36,10.1,2,2.73,4,True,702.7,327.0,72.73,0.325743560552156,0.3638821687775722,0.29600113846591714,0.01437313220435463,2.1489296636085626,4
412-8769,145,0,241.7,137,41.09,135.8,100,11.54,277.6,123,12.49,13.1,3,3.54,0,False,668.2,363.0,68.66000000000001,0.36171804848847644,0.20323256510026938,0.41544447770128706,0.019604908709967075,1.840771349862259,4
390-1552,100,0,131.1,108,22.29,176.2,81,14.98,89.7,81,4.04,4.3,4,1.16,1,False,401.29999999999995,274.0,42.46999999999999,0.3266882631447795,0.43907301270869675,0.2235235484674807,0.01071517567904311,1.4645985401459853,4
389-2477,122,0,234.1,101,39.8,200.2,121,17.02,237.4,89,10.68,13.1,9,3.54,2,False,684.8,320.0,71.04,0.3418516355140187,0.2923481308411215,0.34667056074766356,0.019129672897196262,2.1399999999999997,4
389-4695,109,0,200.1,72,34.02,300.9,120,25.58,236.0,68,10.62,11.9,5,3.21,0,False,748.9,265.0,73.42999999999999,0.2671918814260916,0.40178929096007476,0.3151288556549606,0.015889971958873015,2.8260377358490567,4
406-8037,82,0,154.0,107,26.18,94.4,114,8.02,287.6,95,12.94,10.1,7,2.73,1,False,546.1,323.0,49.87,0.2819996337667094,0.1728621131660868,0.526643471891595,0.018494781175608863,1.6907120743034056,4
382-9138,65,23,224.2,106,38.11,189.6,100,16.12,222.8,75,10.03,9.8,4,2.65,0,False,646.3999999999999,285.0,66.91000000000001,0.34684405940594065,0.29331683168316836,0.34467821782178226,0.015160891089108916,2.268070175438596,0
414-7942,52,0,148.3,83,25.21,181.6,79,15.44,155.6,104,7.0,8.3,6,2.24,3,False,493.8,272.0,49.89,0.30032401782098017,0.36776022681247467,0.31510733090319965,0.016808424463345486,1.8154411764705882,4
348-7071,136,24,174.6,76,29.68,176.6,114,15.01,214.4,91,9.65,8.8,5,2.38,2,False,574.4,286.0,56.72,0.30396935933147634,0.30745125348189417,0.3732590529247911,0.015320334261838441,2.0083916083916082,0
404-2942,75,0,138.5,110,23.55,153.2,86,13.02,215.6,103,9.7,11.1,7,3.0,1,False,518.4,306.0,49.269999999999996,0.2671682098765432,0.29552469135802467,0.4158950617283951,0.02141203703703704,1.6941176470588235,4
348-3581,146,0,109.0,69,18.53,265.8,98,22.59,228.3,80,10.27,12.6,2,3.4,1,False,615.7,249.0,54.79,0.17703426993665744,0.43170375182718856,0.370797466298522,0.020464511937631963,2.472690763052209,4
327-6764,105,0,162.3,99,27.59,212.5,95,18.06,214.7,114,9.66,11.1,8,3.0,4,False,600.6,316.0,58.31,0.27022977022977024,0.3538128538128538,0.3574758574758574,0.01848151848151848,1.9006329113924052,4
405-2831,48,0,210.8,84,35.84,189.6,98,16.12,157.6,99,7.09,16.4,3,4.43,2,False,574.4,284.0,63.48000000000001,0.366991643454039,0.33008356545961004,0.2743732590529248,0.028551532033426183,2.0225352112676056,4
416-4351,45,0,142.4,107,24.21,318.7,78,27.09,224.1,108,10.08,11.1,7,3.0,1,False,696.3000000000001,300.0,64.38,0.20450955048111444,0.4577050122073818,0.3218440327445066,0.015941404566996983,2.321,4
419-3196,106,37,223.5,104,38.0,235.1,99,19.98,140.1,90,6.3,10.6,5,2.86,2,False,609.3000000000001,298.0,67.14,0.36681437715411125,0.385852617758083,0.2299359921221073,0.01739701296569834,2.044630872483222,0
411-6211,33,0,182.5,65,31.03,232.1,96,19.73,149.2,82,6.71,7.5,2,2.03,2,False,571.3,245.0,59.50000000000001,0.3194468755469981,0.406266409942237,0.2611587607211623,0.013127953789602662,2.3318367346938773,4
391-8369,68,0,219.6,97,37.33,141.1,144,11.99,205.7,101,9.26,10.8,4,2.92,2,False,577.1999999999999,346.0,61.5,0.3804573804573805,0.24445599445599447,0.3563756063756064,0.018711018711018716,1.668208092485549,4
416-4464,106,0,193.6,66,32.91,238.2,82,20.25,176.4,107,7.94,12.9,3,3.48,0,False,621.0999999999999,258.0,64.58,0.31170503944614397,0.38351312188053455,0.28401223635485434,0.02076960231846724,2.407364341085271,4
347-1814,141,0,192.4,111,32.71,156.9,87,13.34,175.8,82,7.91,11.0,6,2.97,0,False,536.1,286.0,56.92999999999999,0.35888826711434435,0.2926692781197538,0.3279238947957471,0.02051855997015482,1.8744755244755245,4
386-7337,98,0,236.2,122,40.15,189.4,110,16.1,153.6,104,6.91,13.3,4,3.59,0,False,592.5,340.0,66.75,0.39864978902953585,0.31966244725738396,0.25924050632911394,0.022447257383966246,1.7426470588235294,4
375-8505,94,28,233.2,88,39.64,113.3,102,9.63,118.0,71,5.31,16.1,4,4.35,0,False,480.6,265.0,58.93000000000001,0.48522679983354133,0.23574698293799415,0.24552642530170618,0.03349979192675822,1.8135849056603774,0
407-5056,65,0,158.8,53,27.0,188.5,132,16.02,189.3,87,8.52,9.8,4,2.65,2,False,546.4,276.0,54.18999999999999,0.29062957540263545,0.34498535871156666,0.34644948755490484,0.01793557833089312,1.979710144927536,4
367-8924,85,0,126.1,112,21.44,274.7,126,23.35,184.4,95,8.3,9.8,4,2.65,1,False,594.9999999999999,337.0,55.74,0.21193277310924372,0.46168067226890763,0.30991596638655466,0.016470588235294122,1.7655786350148364,4
419-5171,71,0,290.4,108,49.37,253.9,92,21.58,263.3,126,11.85,10.1,5,2.73,3,True,817.6999999999999,331.0,85.52999999999999,0.3551424727895316,0.3105050752109576,0.3220007337654397,0.012351718234071175,2.470392749244713,4
396-7687,112,30,60.6,113,10.3,165.9,96,14.1,132.8,99,5.98,13.3,7,3.59,0,False,372.6,315.0,33.97,0.16264090177133655,0.44524959742351045,0.3564143853998927,0.03569511540526033,1.1828571428571428,0
